siren,valide,fichier_source
834120321,True,test annonce legale nord 0206.txt
449334440,True,test annonce legale nord 0206.txt
538699778,True,test annonce legale nord 0206.txt
879982270,True,test annonce legale nord 0206.txt
801999574,True,test annonce legale nord 0206.txt
931435648,True,test annonce legale nord 0206.txt
887679686,True,test annonce legale nord 0206.txt
987803962,True,test annonce legale nord 0206.txt
980606800,True,test annonce legale nord 0206.txt
383061801,True,test annonce legale nord 0206.txt
850493123,True,test annonce legale nord 0206.txt
480855634,True,test annonce legale nord 0206.txt
832504740,True,test annonce legale nord 0206.txt
752021386,True,test annonce legale nord 0206.txt
829080779,True,test annonce legale nord 0206.txt
075750364,True,test annonce legale nord 0206.txt
399403617,True,test annonce legale nord 0206.txt
932917560,True,test annonce legale nord 0206.txt
824286850,True,test annonce legale nord 0206.txt
411308828,True,test annonce legale nord 0206.txt
388746836,True,test annonce legale nord 0206.txt
983913567,True,test annonce legale nord 0206.txt
982687865,True,test annonce legale nord 0206.txt
524833373,True,test annonce legale nord 0206.txt
982033334,True,test annonce legale nord 0206.txt
891617730,True,test annonce legale nord 0206.txt
891595753,True,test annonce legale nord 0206.txt
488754631,True,test annonce legale nord 0206.txt
424839488,True,test annonce legale nord 0206.txt
434333365,True,test annonce legale nord 0206.txt
448947127,True,test annonce legale nord 0206.txt
533675443,True,test annonce legale nord 0206.txt
849365291,True,test annonce legale nord 0206.txt
789899218,True,test annonce legale nord 0206.txt
910382217,True,test annonce legale nord 0206.txt
840991681,True,test annonce legale nord 0206.txt
810891499,True,test annonce legale nord 0206.txt
934610445,True,test annonce legale nord 0206.txt
337926968,True,test annonce legale nord 0206.txt
790065841,True,test annonce legale nord 0206.txt
488384751,True,test annonce legale nord 0206.txt
383348604,True,test annonce legale nord 0206.txt
330356999,True,test annonce legale nord 0206.txt
820021475,True,test annonce legale nord 0206.txt
932909344,True,test annonce legale nord 0206.txt
917421281,True,test annonce legale nord 0206.txt
412825937,True,test annonce legale nord 0206.txt
909399370,True,test annonce legale nord 0206.txt
851389429,True,test annonce legale nord 0206.txt
568801013,True,test annonce legale nord 0206.txt
440838860,True,test annonce legale nord 0206.txt
904433745,True,test annonce legale nord 0206.txt
917505927,True,test annonce legale nord 0206.txt
519118400,True,test annonce legale nord 0206.txt
841991953,True,test annonce legale nord 0206.txt
941325722,True,test annonce legale nord 0206.txt
791743925,True,test annonce legale nord 0206.txt
799836697,True,test annonce legale nord 0206.txt
338835812,True,test annonce legale nord 0206.txt
400734448,True,test annonce legale nord 0206.txt
